,player,pts,ast,trb,orb,drb,stl,blk,tov,g,mp,fg,fga,fg%,efg%,ft,fta,ft%
1694,Dewan Hernandez,2.3,0.5,2.3,0.8,1.5,0.2,0.0,0.5,6.0,4.7,0.8,2.3,0.36,0.39,0.5,0.8,0.6
1695,Peyton Siva,2.3,1.4,0.6,0.1,0.5,0.4,0.0,0.8,24.0,9.3,0.8,2.4,0.32,0.38,0.5,0.6,0.73
1696,Arvydas Macijauskas,2.3,0.3,0.5,0.2,0.4,0.4,0.0,0.4,19.0,7.1,0.7,2.2,0.34,0.38,0.7,0.8,0.87
1697,Dionte Christmas,2.3,0.3,1.2,0.4,0.8,0.1,0.1,0.2,31.0,6.4,0.7,2.0,0.36,0.43,0.6,0.8,0.75
1698,Pape Sy,2.3,0.7,1.0,0.7,0.3,0.3,0.0,1.0,3.0,7.0,0.7,2.0,0.33,0.33,1.0,1.0,1.0
1699,Tacko Fall,2.3,0.17,2.3,0.5,1.8,0.07,0.73,0.33,12.33,5.77,1.07,1.53,0.64,0.64,0.2,0.6,0.32
1700,Scotty Pippen Jr.,2.3,0.3,0.7,0.3,0.3,0.3,0.2,0.3,6.0,5.3,0.7,2.0,0.33,0.38,0.8,1.5,0.56
1701,Jonah Bolden,2.28,0.22,2.02,0.62,1.4,0.45,0.48,0.4,14.5,8.93,0.9,2.2,0.44,0.47,0.32,0.6,0.5
1702,Charles Smith,2.28,0.28,0.38,0.05,0.3,0.18,0.15,0.18,11.75,6.43,0.77,2.25,0.27,0.32,0.35,0.52,0.67
1703,Maurice Ager,2.27,0.27,0.52,0.12,0.42,0.08,0.05,0.4,18.0,6.32,0.88,2.45,0.36,0.4,0.25,0.47,0.52
